institution_id,macro_category,count,institution_name
I4210160939,Volume Rendering & Immersive Tech,1,Oculus Innovative Sciences (United States)
I4210161630,Visual Programming & ML,1,Wavefront Research (United States)
I4210161634,Graph Visualization & Text Mining,3,Microsoft (France)
I4210161634,High-Dimensional Data Analysis,1,Microsoft (France)
I4210161785,Graph Visualization & Text Mining,1,First Technical University
I4210161785,Topological Data Analysis,1,First Technical University
I4210161853,Imaging & Display Technology,1,Budapest Institute
I4210161853,Volume Rendering & Immersive Tech,1,Budapest Institute
I4210162195,Imaging & Display Technology,1,Rhythm (United states)
I4210162323,Visual Programming & ML,1,TKL Research
I4210162505,Visual Programming & ML,1,Philips (Germany)
I4210163131,High-Dimensional Data Analysis,1,Max Planck Institute for Meteorology
I4210163178,Volume Rendering & Immersive Tech,1,Alfred Health
