author_id,institution_id,n_papers_with_inst,display_name,ror,country_code,city,region,latitude,longitude,geo_cluster
A2100870245,I45928872,1,Alibaba Group (China),https://ror.org/00k642b80,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2100961798,I98677209,1,University of Edinburgh,https://ror.org/01nrxwf90,GB,Edinburgh,,55.95206069946289,-3.1964800357818604,6
A2101266097,I76130692,4,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2101276323,I107639228,1,University of Notre Dame,https://ror.org/00mkhxb43,US,Notre Dame,,41.700191497802734,-86.23793029785156,1
A2101370631,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2101978051,I154099455,2,Shandong University,https://ror.org/0207yh398,CN,Jinan,,36.668331146240234,116.99722290039062,2
A2102202074,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2102208131,I76130692,1,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2102290556,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2102636632,I200769079,1,Hong Kong University of Science and Technology,https://ror.org/00q4vv597,HK,Hong Kong,,22.2783203125,114.17469024658205,5
A2102971306,I1306409833,1,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.33098983764648,-121.89387512207033,9
A2103171343,I76130692,1,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2103276077,I1306409833,1,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.33098983764648,-121.89387512207033,9
A2103495245,I20231570,1,Peking University,https://ror.org/02v51f717,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2105952798,I1306409833,1,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.33098983764648,-121.89387512207033,9
A2105998426,I38877650,1,Zhengzhou University,https://ror.org/04ypx8c21,CN,Zhengzhou,,34.75777816772461,113.64861297607422,-1
A2106163841,I76130692,2,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2107351164,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2107905803,I79891267,1,Singapore Management University,https://ror.org/050qmg959,SG,Singapore,,1.2896699905395508,103.85006713867188,10
A2108314625,I36258959,1,"University of California, San Diego",https://ror.org/0168r3w48,US,San Diego,,32.7157096862793,-117.16471862792967,11
A2109875249,I131249849,1,Oregon State University,https://ror.org/00ysfqy60,US,Corvallis,,44.564571380615234,-123.26203918457033,3
A2110837801,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2111845028,I4210123185,1,Zhejiang Lab,https://ror.org/02m2h7991,CN,Hangzhou,,30.271240234375,119.96514892578124,8
A2112949193,I4210094970,1,Energy Research Institute,https://ror.org/00ndnb620,CN,Jinan,,36.669246673583984,117.07591247558594,2
A2113810606,I107639228,1,University of Notre Dame,https://ror.org/00mkhxb43,US,Notre Dame,,41.700191497802734,-86.23793029785156,1
A2114287900,I4210127843,1,First Automotive Works (China),https://ror.org/0353t4m91,CN,Changchun,,43.91273880004883,125.3150863647461,-1
A2114319324,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2117897572,I24943067,1,Fudan University,https://ror.org/013q1eq08,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2122936339,I95457486,1,"University of California, Berkeley",https://ror.org/01an7q238,US,Berkeley,,37.87158966064453,-122.2727508544922,9
A2127075362,I107639228,1,University of Notre Dame,https://ror.org/00mkhxb43,US,Notre Dame,,41.700191497802734,-86.23793029785156,1
A2127087169,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2127175817,I74973139,1,Carnegie Mellon University,https://ror.org/05x2bcf33,US,Pittsburgh,,40.44062042236328,-79.99588775634766,1
A2127902150,I76130692,1,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2128221548,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
A2128393815,I12912129,1,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781,1
A2129475195,I24943067,1,Fudan University,https://ror.org/013q1eq08,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2129968125,I130769515,1,Pennsylvania State University,https://ror.org/04p491231,US,State College,,40.79338836669922,-77.86000061035156,1
A2130147369,I114832834,1,Tulane University,https://ror.org/04vmvtb21,US,New Orleans,,29.95465087890625,-90.0750732421875,1
A2130469765,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2130538116,I19820366,1,Chinese Academy of Sciences,https://ror.org/034t30j35,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2132849971,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2133791059,I12912129,1,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781,1
A2134925714,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A2139022045,I56590836,1,Monash University,https://ror.org/02bfwt286,AU,Melbourne,,-37.81399917602539,144.96331787109375,12
A2140148030,I4210127843,1,First Automotive Works (China),https://ror.org/0353t4m91,CN,Changchun,,43.91273880004883,125.3150863647461,-1
A2142913092,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2145662684,I24943067,1,Fudan University,https://ror.org/013q1eq08,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2147904611,I4210127875,1,Nvidia (United States),https://ror.org/03jdj4y14,US,Santa Clara,,37.35411071777344,-121.95523834228516,9
A2148926532,I66867065,1,East China Normal University,https://ror.org/02n96ep67,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2152163733,I4210120115,1,Robert Bosch (United States),https://ror.org/02venad53,US,Farmington Hills,,42.48530960083008,-83.37715911865234,1
A2156161846,I69356397,1,Xi’an Jiaotong-Liverpool University,https://ror.org/03zmrmn05,CN,Suzhou,,31.304079055786133,120.59538269042967,8
A2156835097,I154099455,1,Shandong University,https://ror.org/0207yh398,CN,Jinan,,36.668331146240234,116.99722290039062,2
A2157271971,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2158310186,I1283280774,1,Brigham and Women's Hospital,https://ror.org/04b6nzv94,US,Boston,,42.358428955078125,-71.05976867675781,1
A2158800269,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2159998460,I107639228,1,University of Notre Dame,https://ror.org/00mkhxb43,US,Notre Dame,,41.700191497802734,-86.23793029785156,1
A2160271655,I154099455,1,Shandong University,https://ror.org/0207yh398,CN,Jinan,,36.668331146240234,116.99722290039062,2
A2162477850,I150229711,1,University of Electronic Science and Technology of China,https://ror.org/04qr3zq92,CN,Chengdu,,30.666669845581055,104.0666732788086,4
A2164504749,I56590836,1,Monash University,https://ror.org/02bfwt286,AU,Melbourne,,-37.81399917602539,144.96331787109375,12
A2166637036,I4210120115,1,Robert Bosch (United States),https://ror.org/02venad53,US,Farmington Hills,,42.48530960083008,-83.37715911865234,1
A2169816289,I130828816,1,University of Leeds,https://ror.org/024mrxd33,GB,Leeds,,53.796478271484375,-1.5478500127792358,6
A2170130016,I24943067,1,Fudan University,https://ror.org/013q1eq08,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2189384394,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A2211450727,I156087764,1,"University of California, Merced",https://ror.org/00d9ah105,US,Merced,,37.30215835571289,-120.48297119140624,9
A2224011662,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2224668320,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2228940112,I1306409833,1,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.33098983764648,-121.89387512207033,9
A2230100954,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2236935383,I4210128818,1,Institute of Software,https://ror.org/033dfsn42,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2242486043,I156087764,1,"University of California, Merced",https://ror.org/00d9ah105,US,Merced,,37.30215835571289,-120.48297119140624,9
A2250180867,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2274748244,I4210117453,1,Dana-Farber Cancer Institute,https://ror.org/02jzgtq86,US,Boston,,42.358428955078125,-71.05976867675781,1
A2280587364,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2296065211,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2296695175,I131249849,1,Oregon State University,https://ror.org/00ysfqy60,US,Corvallis,,44.564571380615234,-123.26203918457033,3
A2311807805,I189712700,1,University of Konstanz,https://ror.org/0546hnb39,DE,Konstanz,,47.66033172607422,9.175820350646973,6
A2321007146,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A2329647279,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2337969636,I56590836,1,Monash University,https://ror.org/02bfwt286,AU,Melbourne,,-37.81399917602539,144.96331787109375,12
A2340748944,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2426515289,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2436407508,I76130692,1,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A2442368469,I84218800,1,"University of California, Davis",https://ror.org/05rrcem69,US,Davis,,38.5449104309082,-121.74051666259766,9
A2472796992,I59553526,1,Stony Brook University,https://ror.org/05qghxh33,US,Stony Brook,,40.92565155029297,-73.14093780517578,1
A2478538189,I150468666,1,Emory University,https://ror.org/03czfpz43,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A2518120156,I4210123185,1,Zhejiang Lab,https://ror.org/02m2h7991,CN,Hangzhou,,30.271240234375,119.96514892578124,8
A257767137,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2581697602,I24943067,1,Fudan University,https://ror.org/013q1eq08,CN,Shanghai,,31.22221946716309,121.45806121826172,8
A2596683589,I155173764,1,Rochester Institute of Technology,https://ror.org/00v4yb702,US,Rochester,,43.154781341552734,-77.61556243896484,1
A2623901632,I189712700,1,University of Konstanz,https://ror.org/0546hnb39,DE,Konstanz,,47.66033172607422,9.175820350646973,6
A2625825152,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2639424285,I99065089,1,Tsinghua University,https://ror.org/03cve4549,CN,Beijing,,39.907501220703125,116.39723205566406,7
A2699503881,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2718066719,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A272170598,I130701444,1,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A2776145993,I12912129,1,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781,1
A2783317702,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A2795272079,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A2806002416,I4092182,1,Graz University of Technology,https://ror.org/00d7xrm67,AT,Graz,,47.06666946411133,15.449999809265137,6
A2914703055,I1306409833,1,Adobe Systems (United States),https://ror.org/059tvcg64,US,San Jose,California,37.33098983764648,-121.89387512207033,9
A2922806279,I66946132,1,"University of Maryland, College Park",https://ror.org/047s2c258,US,College Park,,38.98067092895508,-76.93692016601562,1
A2949189709,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A2965587659,I2801851002,1,Harvard University Press,https://ror.org/006v7bf86,US,Cambridge,Massachusetts,42.38301467895508,-71.12705993652344,1
A2969790948,I12912129,1,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781,1
A2983968868,I130701444,1,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A3042739767,I44504214,1,Czech Technical University in Prague,https://ror.org/03kqpb082,CZ,Prague,,50.08803939819336,14.42076015472412,6
A3048423116,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A3067083929,I84218800,1,"University of California, Davis",https://ror.org/05rrcem69,US,Davis,,38.5449104309082,-121.74051666259766,9
A3074211044,I84218800,1,"University of California, Davis",https://ror.org/05rrcem69,US,Davis,,38.5449104309082,-121.74051666259766,9
A3091912261,I76130692,2,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A3092568790,I76130692,2,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A3095668740,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A3103622860,I130701444,1,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A3127058107,I1283280774,1,Brigham and Women's Hospital,https://ror.org/04b6nzv94,US,Boston,,42.358428955078125,-71.05976867675781,1
A3143182302,I4210113369,1,Microsoft Research Asia (China),https://ror.org/0300m5276,CN,Beijing,,39.907501220703125,116.39723205566406,7
A3164509898,I83019370,1,Eindhoven University of Technology,https://ror.org/02c2kyt77,NL,Eindhoven,,51.44083023071289,5.477779865264893,6
A3179975792,I156087764,1,"University of California, Merced",https://ror.org/00d9ah105,US,Merced,,37.30215835571289,-120.48297119140624,9
A3184432917,I79891267,1,Singapore Management University,https://ror.org/050qmg959,SG,Singapore,,1.2896699905395508,103.85006713867188,10
A3193142476,I130701444,1,Georgia Institute of Technology,https://ror.org/01zkghx44,US,Atlanta,,33.749000549316406,-84.38797760009766,1
A3199566799,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A3202178078,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A3203167604,I151746483,1,University of Waterloo,https://ror.org/01aff2v68,CA,Waterloo,,43.466800689697266,-80.51638793945312,1
A3204488662,I76130692,1,Zhejiang University,https://ror.org/00a2xv884,CN,Hangzhou,,30.29364967346191,120.1614227294922,8
A3204873855,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A4200808244,I177725633,1,Chinese University of Hong Kong,https://ror.org/00t33hh48,CN,Hong Kong,,22.419721603393555,114.20679473876952,5
A4202166419,I79510175,1,Cardiff University,https://ror.org/03kk7td41,GB,Cardiff,,51.47999954223633,-3.180000066757202,6
A4202219859,I1282311441,1,Lawrence Livermore National Laboratory,https://ror.org/041nk4h53,US,Livermore,,37.68186950683594,-121.76801300048828,9
A4202291998,I87216513,1,Michigan State University,https://ror.org/05hs6h993,US,East Lansing,,42.73698043823242,-84.48387145996094,1
A4208259650,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A4226714658,I8087733,1,University of Tübingen,https://ror.org/03a1kwz48,DE,Tübingen,,48.52265930175781,9.052220344543455,6
A4227595456,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A4227595457,I223532165,1,University of Utah,https://ror.org/03r0ha626,US,Salt Lake City,,40.760780334472656,-111.89105224609376,0
A4227710267,I136199984,1,Harvard University,https://ror.org/03vek6s52,US,Cambridge,,42.375099182128906,-71.1056137084961,1
A5000006583,I84218800,3,"University of California, Davis",https://ror.org/05rrcem69,US,Davis,,38.5449104309082,-121.74051666259766,9
A5000033049,I3019423309,1,Fraunhofer Institute for Computer Graphics Research,https://ror.org/04gmsar03,DE,Darmstadt,,49.87434768676758,8.65952205657959,6
A5000036409,I40347166,1,University of Chicago,https://ror.org/024mw5h28,US,Chicago,,41.85002899169922,-87.6500473022461,1
A5000056504,I115752224,1,University of Insubria,https://ror.org/00s409261,IT,Varese,,45.820579528808594,8.82511043548584,6
A5000056900,I124055696,1,University of Copenhagen,https://ror.org/035b05819,DK,Copenhagen,,55.67594146728515,12.565529823303224,6
A5000064618,I4210144839,1,Hamad bin Khalifa University,https://ror.org/03eyq4y97,QA,Doha,,25.285449981689453,51.53096008300781,13
A5000073162,I200719446,1,Vanderbilt University,https://ror.org/02vm5rt34,US,Nashville,Tennessee,36.14493560791016,-86.80268859863281,1
A5000079053,I100066346,2,University of Stuttgart,https://ror.org/04vnq7t77,DE,Stuttgart,,48.782318115234375,9.177020072937012,6
A5000099153,I94509681,4,Technische Universität Braunschweig,https://ror.org/010nsgg66,DE,Braunschweig,,52.26594161987305,10.526729583740234,6
A5000102893,I97018004,2,Stanford University,https://ror.org/00f54p054,US,Stanford,,37.424110412597656,-122.16607666015624,9
A5000123743,I219193219,1,Purdue University West Lafayette,https://ror.org/02dqehb95,US,West Lafayette,,40.42586898803711,-86.90807342529297,1
A5000145300,I5124864,1,École Polytechnique Fédérale de Lausanne,https://ror.org/02s376052,CH,Lausanne,,46.51599884033203,6.632820129394531,6
A5000147776,I202697423,3,University of Zurich,https://ror.org/02crff812,CH,Zurich,,47.366668701171875,8.550000190734863,6
A5000160353,I157725225,1,University of Illinois Urbana-Champaign,https://ror.org/047426m28,US,Urbana,,40.110591888427734,-88.20726776123047,1
A5000173125,I8087733,4,University of Tübingen,https://ror.org/03a1kwz48,DE,Tübingen,,48.52265930175781,9.052220344543455,6
A5000175003,I219193219,1,Purdue University West Lafayette,https://ror.org/02dqehb95,US,West Lafayette,,40.42586898803711,-86.90807342529297,1
A5000189941,I84218800,3,"University of California, Davis",https://ror.org/05rrcem69,US,Davis,,38.5449104309082,-121.74051666259766,9
A5000199768,I66946132,1,"University of Maryland, College Park",https://ror.org/047s2c258,US,College Park,,38.98067092895508,-76.93692016601562,1
A5000212755,I29607241,1,École Normale Supérieure - PSL,https://ror.org/05a0dhs15,FR,Paris,,48.85340881347656,2.34879994392395,14
A5000228959,I173911158,1,Iowa State University,https://ror.org/04rswrd78,US,Ames,,42.03470993041992,-93.61994171142578,1
A5000242175,I1292875679,1,Commonwealth Scientific and Industrial Research Organisation,https://ror.org/03qn8fb07,AU,Canberra,,-35.2834587097168,149.12806701660156,15
A5000254667,I4210144576,1,Fraunhofer Institute for Intelligent Analysis and Information Systems,https://ror.org/04nc32781,DE,Sankt Augustin,,50.7753791809082,7.197000026702881,6
A5000261303,I35440088,1,ETH Zurich,https://ror.org/05a28rw58,CH,Zurich,,47.366668701171875,8.550000190734863,6
A5000266021,I102149020,1,University of North Carolina at Charlotte,https://ror.org/04dawnj30,US,Charlotte,,35.227088928222656,-80.84313201904297,1
A5000366779,I18014758,1,Simon Fraser University,https://ror.org/0213rcc28,CA,Burnaby,,49.266361236572266,-122.95262908935548,3
A5000371948,I78650965,1,TU Dresden,https://ror.org/042aqky30,DE,Dresden,,51.0508918762207,13.738320350646973,6
A5000374095,I142606810,3,Pacific Northwest National Laboratory,https://ror.org/05h992307,US,Richland,,46.28569030761719,-119.28446197509766,16
A5000390546,I12912129,1,Northeastern University,https://ror.org/04t5xt781,US,Boston,,42.358428955078125,-71.05976867675781,1
A5000413604,I219193219,6,Purdue University West Lafayette,https://ror.org/02dqehb95,US,West Lafayette,,40.42586898803711,-86.90807342529297,1
A5000420564,I83019370,7,Eindhoven University of Technology,https://ror.org/02c2kyt77,NL,Eindhoven,,51.44083023071289,5.477779865264893,6
A5000426391,I130238516,1,University of Minnesota,https://ror.org/017zqws13,US,Minneapolis,,44.9799690246582,-93.26383972167967,17
A5000430651,I3132238960,1,Institute of Electrical and Electronics Engineers,https://ror.org/01n002310,US,Piscataway,,40.499271392822266,-74.39904022216797,1
A5000474356,I116953780,19,Tongji University,https://ror.org/03rc6as71,CN,Shanghai,,31.22221946716309,121.45806121826172,8
